,MaterialKey,PlantKey,MaterialPlantKey,VendorKey,Currency,ProductionTime,InboundTransportationTime,GoodReceiptProcessingTime,TotalInboundLeadTime
1,1,4,10004,1001,EUR,20,1,2,23
2,1,5,10005,1002,PLN,20,1,2,23
3,1,6,10006,1003,EUR,20,1,2,23
4,1,7,10007,1001,GBP,20,1,2,23
5,1,8,10008,1002,SEK,20,2,2,24
6,2,4,20004,1001,EUR,20,1,2,23
7,2,5,20005,1002,PLN,20,1,2,23
8,2,6,20006,1003,EUR,20,1,2,23
9,2,7,20007,1001,GBP,20,1,2,23
10,2,8,20008,1002,SEK,20,2,2,24
11,1,1,10001,1001,EUR,10,1,2,13
12,2,1,20001,1001,EUR,10,1,2,13
13,3,1,30001,5,EUR,35,31,2,68
14,4,1,40001,6,EUR,23,35,2,60
15,5,1,50001,2,EUR,7,1,2,10
16,6,1,60001,2,EUR,7,1,2,10
17,7,1,70001,3,EUR,13,2,2,17
18,8,1,80001,4,EUR,15,40,2,57
19,9,1,90001,4,EUR,15,40,2,57
20,10,1,100001,2,EUR,5,1,2,8
21,11,1,110001,2,EUR,5,1,2,8
22,12,1,120001,2,EUR,3,1,2,6
23,13,1,130001,2,EUR,3,1,2,6
24,14,1,140001,2,EUR,3,1,2,6
25,15,1,150001,4,EUR,14,40,2,56
26,16,1,160001,4,EUR,14,40,2,56
27,17,1,170001,2,EUR,4,1,2,7
28,18,1,180001,2,EUR,4,1,2,7
29,19,1,190001,2,EUR,4,1,2,7
30,20,1,200001,1,EUR,9,31,2,42
31,21,1,210001,6,EUR,21,35,2,58
32,22,1,220001,2,EUR,6,1,2,9
33,23,1,230001,2,EUR,6,1,2,9
34,24,1,240001,2,EUR,1,1,2,4
35,25,1,250001,2,EUR,2,1,2,5
36,26,1,260001,2,EUR,3,1,2,6
37,27,1,270001,1,EUR,5,31,2,38
38,28,1,280001,1,EUR,6,31,2,39
39,29,1,290001,1,EUR,6,31,2,39
40,30,1,300001,1,EUR,11,31,2,44
41,31,1,310001,1,EUR,11,31,2,44
42,32,1,320001,2,EUR,3,1,2,6
43,33,1,330001,2,EUR,3,1,2,6
44,1,2,10002,1002,PLN,10,1,2,13
45,2,2,20002,1002,PLN,10,1,2,13
46,3,2,30002,5,PLN,35,33,2,70
47,4,2,40002,6,PLN,23,37,2,62
48,5,2,50002,3,PLN,7,1,2,10
49,6,2,60002,3,PLN,7,1,2,10
50,7,2,70002,3,PLN,13,1,2,16
51,8,2,80002,4,PLN,15,42,2,59
52,9,2,90002,4,PLN,15,42,2,59
53,10,2,100002,3,PLN,5,1,2,8
54,11,2,110002,3,PLN,5,1,2,8
55,12,2,120002,3,PLN,3,1,2,6
56,13,2,130002,3,PLN,3,1,2,6
57,14,2,140002,3,PLN,3,1,2,6
58,15,2,150002,4,PLN,14,42,2,58
59,16,2,160002,4,PLN,14,42,2,58
60,17,2,170002,3,PLN,4,1,2,7
61,18,2,180002,3,PLN,4,1,2,7
62,19,2,190002,3,PLN,4,1,2,7
63,20,2,200002,1,PLN,9,33,2,44
64,21,2,210002,6,PLN,21,37,2,60
65,22,2,220002,3,PLN,6,1,2,9
66,23,2,230002,3,PLN,6,1,2,9
67,24,2,240002,3,PLN,1,1,2,4
68,25,2,250002,3,PLN,2,1,2,5
69,26,2,260002,3,PLN,3,1,2,6
70,27,2,270002,1,PLN,5,33,2,40
71,28,2,280002,1,PLN,6,33,2,41
72,29,2,290002,1,PLN,6,33,2,41
73,30,2,300002,1,PLN,11,33,2,46
74,31,2,310002,1,PLN,11,33,2,46
75,32,2,320002,2,PLN,3,2,2,7
76,33,2,330002,2,PLN,3,2,2,7
77,1,3,10003,1003,EUR,10,1,2,13
78,2,3,20003,1003,EUR,10,1,2,13
79,3,3,30003,5,EUR,35,32,2,69
80,4,3,40003,6,EUR,23,36,2,61
81,5,3,50003,2,EUR,7,2,2,11
82,6,3,60003,2,EUR,7,2,2,11
83,7,3,70003,3,EUR,13,3,2,18
84,8,3,80003,4,EUR,15,41,2,58
85,9,3,90003,4,EUR,15,41,2,58
86,10,3,100003,2,EUR,5,2,2,9
87,11,3,110003,2,EUR,5,2,2,9
88,12,3,120003,2,EUR,3,2,2,7
89,13,3,130003,2,EUR,3,2,2,7
90,14,3,140003,2,EUR,3,2,2,7
91,15,3,150003,4,EUR,14,41,2,57
92,16,3,160003,4,EUR,14,41,2,57
93,17,3,170003,2,EUR,4,2,2,8
94,18,3,180003,2,EUR,4,2,2,8
95,19,3,190003,2,EUR,4,2,2,8
96,20,3,200003,1,EUR,9,32,2,43
97,21,3,210003,6,EUR,21,36,2,59
98,22,3,220003,2,EUR,6,2,2,10
99,23,3,230003,2,EUR,6,2,2,10
100,24,3,240003,2,EUR,1,2,2,5
101,25,3,250003,2,EUR,2,2,2,6
102,26,3,260003,2,EUR,3,2,2,7
103,27,3,270003,1,EUR,5,32,2,39
104,28,3,280003,1,EUR,6,32,2,40
105,29,3,290003,1,EUR,6,32,2,40
106,30,3,300003,1,EUR,11,32,2,45
107,31,3,310003,1,EUR,11,32,2,45
108,32,3,320003,2,EUR,3,2,2,7
109,33,3,330003,2,EUR,3,2,2,7
