,PurchaseOrder,PurchaseOrderCreationDate,VendorKey,PlantKey,MaterialKey,MaterialPlantKey,PurchaseOrderQuantity,PlannedGoodsReceiptDate,ActualGoodsReceiptDate,PlannedArrivalDateYard,ActualArrivalDateYard,PlannedVendorShipmentDate,ActualVendorShipmentDate,ReceiptTimeDeviation
1,4500000001,6/7/2023,1002,5,1,10005,69,6/30/2023,7/4/2023,6/28/2023,7/2/2023,6/27/2023,7/1/2023,4
2,4500000002,3/5/2023,1001,7,1,10007,80,3/28/2023,3/24/2023,3/26/2023,3/26/2023,3/25/2023,3/25/2023,-4
3,4500000003,8/22/2022,1002,8,2,20008,79,9/15/2022,9/27/2022,9/13/2022,9/25/2022,9/11/2022,9/23/2022,12
4,4500000004,3/9/2024,1001,4,1,10004,84,4/1/2024,3/28/2024,3/30/2024,3/30/2024,3/29/2024,3/29/2024,-4
5,4500000005,10/27/2024,1003,6,1,10006,75,11/19/2024,11/18/2024,11/17/2024,11/17/2024,11/16/2024,11/16/2024,-1
6,4500000006,11/4/2022,1002,5,1,10005,76,11/27/2022,11/25/2022,11/25/2022,11/25/2022,11/24/2022,11/24/2022,-2
7,4500000007,12/17/2021,1001,4,1,10004,79,1/9/2022,1/9/2022,1/7/2022,1/7/2022,1/6/2022,1/6/2022,0
8,4500000008,9/4/2022,1002,5,1,10005,85,9/27/2022,9/23/2022,9/25/2022,9/25/2022,9/24/2022,9/24/2022,-4
9,4500000009,7/18/2024,1002,5,1,10005,73,8/10/2024,8/9/2024,8/8/2024,8/8/2024,8/7/2024,8/7/2024,-1
10,4500000010,9/18/2023,1002,5,1,10005,70,10/11/2023,10/11/2023,10/9/2023,10/9/2023,10/8/2023,10/8/2023,0
11,4500000011,1/23/2022,1001,4,1,10004,81,2/15/2022,2/10/2022,2/13/2022,2/13/2022,2/12/2022,2/12/2022,-5
12,4500000012,9/14/2023,1003,6,1,10006,70,10/7/2023,10/7/2023,10/5/2023,10/5/2023,10/4/2023,10/4/2023,0
13,4500000013,3/19/2024,1002,8,1,10008,80,4/12/2024,4/23/2024,4/10/2024,4/21/2024,4/8/2024,4/19/2024,11
14,4500000014,5/10/2023,1001,4,1,10004,69,6/2/2023,6/2/2023,5/31/2023,5/31/2023,5/30/2023,5/30/2023,0
15,4500000015,3/31/2023,1001,4,1,10004,74,4/23/2023,4/23/2023,4/21/2023,4/21/2023,4/20/2023,4/20/2023,0
16,4500000016,3/5/2023,1002,5,1,10005,81,3/28/2023,3/23/2023,3/26/2023,3/26/2023,3/25/2023,3/25/2023,-5
17,4500000017,4/9/2023,1003,6,1,10006,77,5/2/2023,4/27/2023,4/30/2023,4/30/2023,4/29/2023,4/29/2023,-5
18,4500000018,6/22/2023,1001,4,1,10004,78,7/15/2023,7/14/2023,7/13/2023,7/13/2023,7/12/2023,7/12/2023,-1
19,4500000019,10/6/2024,1001,4,2,20004,84,10/29/2024,10/25/2024,10/27/2024,10/27/2024,10/26/2024,10/26/2024,-4
20,4500000020,1/11/2022,1001,4,1,10004,91,2/3/2022,2/1/2022,2/1/2022,2/1/2022,1/31/2022,1/31/2022,-2
21,4500000021,3/15/2024,1001,4,1,10004,71,4/7/2024,4/4/2024,4/5/2024,4/5/2024,4/4/2024,4/4/2024,-3
22,4500000022,6/7/2023,1001,4,2,20004,73,6/30/2023,6/29/2023,6/28/2023,6/28/2023,6/27/2023,6/27/2023,-1
23,4500000023,9/5/2024,1001,4,1,10004,78,9/28/2024,9/28/2024,9/26/2024,9/26/2024,9/25/2024,9/25/2024,0
24,4500000024,2/12/2022,1001,4,1,10004,70,3/7/2022,3/4/2022,3/5/2022,3/5/2022,3/4/2022,3/4/2022,-3
25,4500000025,6/14/2023,1001,4,1,10004,63,7/7/2023,7/6/2023,7/5/2023,7/5/2023,7/4/2023,7/4/2023,-1
26,4500000026,10/21/2022,1001,4,2,20004,82,11/13/2022,11/10/2022,11/11/2022,11/11/2022,11/10/2022,11/10/2022,-3
27,4500000027,2/9/2023,1001,4,1,10004,82,3/4/2023,3/13/2023,3/2/2023,3/11/2023,3/1/2023,3/10/2023,9
28,4500000028,8/7/2022,1001,4,1,10004,79,8/30/2022,8/26/2022,8/28/2022,8/28/2022,8/27/2022,8/27/2022,-4
29,4500000029,10/7/2024,1002,5,1,10005,79,10/30/2024,10/30/2024,10/28/2024,10/28/2024,10/27/2024,10/27/2024,0
30,4500000030,10/9/2022,1001,4,1,10004,71,11/1/2022,11/1/2022,10/30/2022,10/30/2022,10/29/2022,10/29/2022,0
31,4500000031,2/22/2024,1001,4,1,10004,84,3/16/2024,3/16/2024,3/14/2024,3/14/2024,3/13/2024,3/13/2024,0
32,4500000032,7/9/2023,1001,4,1,10004,70,8/1/2023,7/27/2023,7/30/2023,7/30/2023,7/29/2023,7/29/2023,-5
33,4500000033,1/14/2022,1003,6,1,10006,65,2/6/2022,2/4/2022,2/4/2022,2/4/2022,2/3/2022,2/3/2022,-2
34,4500000034,12/25/2023,1002,5,1,10005,76,1/17/2024,1/29/2024,1/15/2024,1/27/2024,1/14/2024,1/26/2024,12
35,4500000035,9/14/2022,1001,4,2,20004,77,10/7/2022,10/4/2022,10/5/2022,10/5/2022,10/4/2022,10/4/2022,-3
36,4500000036,5/7/2023,1003,6,2,20006,81,5/30/2023,5/26/2023,5/28/2023,5/28/2023,5/27/2023,5/27/2023,-4
37,4500000037,8/21/2022,1003,6,2,20006,88,9/13/2022,9/27/2022,9/11/2022,9/25/2022,9/10/2022,9/24/2022,14
38,4500000038,8/23/2023,1001,4,1,10004,84,9/15/2023,9/15/2023,9/13/2023,9/13/2023,9/12/2023,9/12/2023,0
39,4500000039,2/13/2024,1002,8,1,10008,71,3/8/2024,3/7/2024,3/6/2024,3/6/2024,3/4/2024,3/4/2024,-1
40,4500000040,10/28/2022,1001,4,2,20004,90,11/20/2022,11/17/2022,11/18/2022,11/18/2022,11/17/2022,11/17/2022,-3
41,4500000041,9/21/2024,1003,6,1,10006,82,10/14/2024,10/9/2024,10/12/2024,10/12/2024,10/11/2024,10/11/2024,-5
42,4500000042,12/26/2022,1001,4,1,10004,85,1/18/2023,1/23/2023,1/16/2023,1/16/2023,1/15/2023,1/15/2023,5
43,4500000043,1/28/2022,1002,5,1,10005,77,2/20/2022,2/17/2022,2/18/2022,2/18/2022,2/17/2022,2/17/2022,-3
44,4500000044,7/22/2023,1002,8,1,10008,81,8/15/2023,8/14/2023,8/13/2023,8/13/2023,8/11/2023,8/11/2023,-1
45,4500000045,10/28/2022,1001,4,1,10004,77,11/20/2022,11/16/2022,11/18/2022,11/18/2022,11/17/2022,11/17/2022,-4
46,4500000046,6/22/2023,1002,8,1,10008,78,7/16/2023,7/16/2023,7/14/2023,7/14/2023,7/12/2023,7/12/2023,0
47,4500000047,5/5/2023,1002,8,1,10008,69,5/29/2023,5/26/2023,5/27/2023,5/27/2023,5/25/2023,5/25/2023,-3
48,4500000048,9/7/2022,1001,4,1,10004,72,9/30/2022,9/28/2022,9/28/2022,9/28/2022,9/27/2022,9/27/2022,-2
49,4500000049,2/6/2022,1002,8,2,20008,73,3/2/2022,2/25/2022,2/28/2022,2/28/2022,2/26/2022,2/26/2022,-5
50,4500000050,6/14/2022,1002,8,1,10008,77,7/8/2022,7/14/2022,7/6/2022,7/12/2022,7/4/2022,7/10/2022,6
51,4500000051,2/25/2024,1003,6,1,10006,76,3/19/2024,3/14/2024,3/17/2024,3/17/2024,3/16/2024,3/16/2024,-5
52,4500000052,10/24/2023,1003,6,1,10006,91,11/16/2023,11/16/2023,11/14/2023,11/14/2023,11/13/2023,11/13/2023,0
53,4500000053,8/25/2024,1003,6,1,10006,84,9/17/2024,9/12/2024,9/15/2024,9/15/2024,9/14/2024,9/14/2024,-5
54,4500000054,4/8/2023,1003,6,1,10006,83,5/1/2023,5/1/2023,4/29/2023,4/29/2023,4/28/2023,4/28/2023,0
55,4500000055,9/7/2024,1001,4,1,10004,76,9/30/2024,9/30/2024,9/28/2024,9/28/2024,9/27/2024,9/27/2024,0
56,4500000056,2/9/2022,1003,6,1,10006,68,3/4/2022,3/4/2022,3/2/2022,3/2/2022,3/1/2022,3/1/2022,0
57,4500000057,4/14/2024,1001,4,1,10004,72,5/7/2024,5/6/2024,5/5/2024,5/5/2024,5/4/2024,5/4/2024,-1
58,4500000058,3/21/2024,1001,4,1,10004,83,4/13/2024,4/10/2024,4/11/2024,4/11/2024,4/10/2024,4/10/2024,-3
59,4500000059,10/8/2022,1001,4,1,10004,85,10/31/2022,10/28/2022,10/29/2022,10/29/2022,10/28/2022,10/28/2022,-3
60,4500000060,4/17/2024,1003,6,1,10006,71,5/10/2024,5/7/2024,5/8/2024,5/8/2024,5/7/2024,5/7/2024,-3
61,4500000061,5/2/2023,1002,8,1,10008,70,5/26/2023,5/23/2023,5/24/2023,5/24/2023,5/22/2023,5/22/2023,-3
62,4500000062,3/22/2024,1003,6,1,10006,75,4/14/2024,4/11/2024,4/12/2024,4/12/2024,4/11/2024,4/11/2024,-3
63,4500000063,7/5/2023,1001,4,1,10004,73,7/28/2023,7/26/2023,7/26/2023,7/26/2023,7/25/2023,7/25/2023,-2
64,4500000064,1/19/2024,1003,6,1,10006,73,2/11/2024,2/11/2024,2/9/2024,2/9/2024,2/8/2024,2/8/2024,0
65,4500000065,7/7/2024,1002,5,1,10005,83,7/30/2024,7/29/2024,7/28/2024,7/28/2024,7/27/2024,7/27/2024,-1
66,4500000066,12/9/2022,1002,5,1,10005,76,1/1/2023,1/1/2023,12/30/2022,12/30/2022,12/29/2022,12/29/2022,0
67,4500000067,12/2/2022,1001,4,2,20004,76,12/25/2022,12/22/2022,12/23/2022,12/23/2022,12/22/2022,12/22/2022,-3
68,4500000068,8/20/2023,1001,4,2,20004,80,9/12/2023,9/11/2023,9/10/2023,9/10/2023,9/9/2023,9/9/2023,-1
69,4500000069,12/18/2023,1001,4,2,20004,76,1/10/2024,1/5/2024,1/8/2024,1/8/2024,1/7/2024,1/7/2024,-5
70,4500000070,11/2/2022,1003,6,2,20006,72,11/25/2022,11/24/2022,11/23/2022,11/23/2022,11/22/2022,11/22/2022,-1
71,4500000071,7/27/2023,1002,5,1,10005,81,8/19/2023,8/17/2023,8/17/2023,8/17/2023,8/16/2023,8/16/2023,-2
72,4500000072,6/16/2024,1002,8,1,10008,72,7/10/2024,7/5/2024,7/8/2024,7/8/2024,7/6/2024,7/6/2024,-5
73,4500000073,6/29/2023,1001,4,2,20004,74,7/22/2023,7/20/2023,7/20/2023,7/20/2023,7/19/2023,7/19/2023,-2
74,4500000074,10/25/2022,1001,4,2,20004,81,11/17/2022,11/17/2022,11/15/2022,11/15/2022,11/14/2022,11/14/2022,0
75,4500000075,11/23/2022,1001,4,1,10004,72,12/16/2022,12/13/2022,12/14/2022,12/14/2022,12/13/2022,12/13/2022,-3
76,4500000076,9/21/2023,1003,6,1,10006,75,10/14/2023,10/13/2023,10/12/2023,10/12/2023,10/11/2023,10/11/2023,-1
77,4500000077,6/17/2022,1001,4,1,10004,75,7/10/2022,7/8/2022,7/8/2022,7/8/2022,7/7/2022,7/7/2022,-2
78,4500000078,7/9/2023,1001,4,2,20004,86,8/1/2023,8/1/2023,7/30/2023,7/30/2023,7/29/2023,7/29/2023,0
79,4500000079,2/23/2024,1003,6,1,10006,76,3/17/2024,3/15/2024,3/15/2024,3/15/2024,3/14/2024,3/14/2024,-2
80,4500000080,2/10/2022,1001,4,1,10004,68,3/5/2022,3/3/2022,3/3/2022,3/3/2022,3/2/2022,3/2/2022,-2
81,4500000081,3/30/2023,1001,4,1,10004,68,4/22/2023,4/21/2023,4/20/2023,4/20/2023,4/19/2023,4/19/2023,-1
82,4500000082,5/1/2023,1002,8,2,20008,79,5/25/2023,5/25/2023,5/23/2023,5/23/2023,5/21/2023,5/21/2023,0
83,4500000083,2/28/2024,1001,4,1,10004,85,3/22/2024,3/21/2024,3/20/2024,3/20/2024,3/19/2024,3/19/2024,-1
84,4500000084,3/30/2022,1001,4,1,10004,81,4/22/2022,4/20/2022,4/20/2022,4/20/2022,4/19/2022,4/19/2022,-2
85,4500000085,8/13/2022,1001,4,1,10004,75,9/5/2022,9/2/2022,9/3/2022,9/3/2022,9/2/2022,9/2/2022,-3
