PurchaseOrder,PurchaseOrderCreationDate,VendorKey,PlantKey,MaterialKey,MaterialPlantKey,PurchaseOrderQuantity,PlannedGoodsReceiptDate,ActualGoodsReceiptDate,PlannedArrivalDateYard,ActualArrivalDateYard,PlannedVendorShipmentDate,ActualVendorShipmentDate
4500000001,7 06 2023,1002,5,1,10005,69,30 06 2023,4 07 2023,28 06 2023,2 07 2023,27 06 2023,1 07 2023
4500000002,5 03 2023,1001,7,1,10007,80,28 03 2023,24 03 2023,26 03 2023,26 03 2023,25 03 2023,25 03 2023
4500000003,22 08 2022,1002,8,2,20008,79,15 09 2022,27 09 2022,13 09 2022,25 09 2022,11 09 2022,23 09 2022
4500000004,9 03 2024,1001,4,1,10004,84,1 04 2024,28 03 2024,30 03 2024,30 03 2024,29 03 2024,29 03 2024
4500000005,27 10 2024,1003,6,1,10006,75,19 11 2024,18 11 2024,17 11 2024,17 11 2024,16 11 2024,16 11 2024
4500000006,4 11 2022,1002,5,1,10005,76,27 11 2022,25 11 2022,25 11 2022,25 11 2022,24 11 2022,24 11 2022
4500000007,17 12 2021,1001,4,1,10004,79,9 01 2022,9 01 2022,7 01 2022,7 01 2022,6 01 2022,6 01 2022
4500000008,4 09 2022,1002,5,1,10005,85,27 09 2022,23 09 2022,25 09 2022,25 09 2022,24 09 2022,24 09 2022
4500000009,18 07 2024,1002,5,1,10005,73,10 08 2024,9 08 2024,8 08 2024,8 08 2024,7 08 2024,7 08 2024
4500000010,18 09 2023,1002,5,1,10005,70,11 10 2023,11 10 2023,9 10 2023,9 10 2023,8 10 2023,8 10 2023
4500000011,23 01 2022,1001,4,1,10004,81,15 02 2022,10 02 2022,13 02 2022,13 02 2022,12 02 2022,12 02 2022
4500000012,14 09 2023,1003,6,1,10006,70,7 10 2023,7 10 2023,5 10 2023,5 10 2023,4 10 2023,4 10 2023
4500000013,19 03 2024,1002,8,1,10008,80,12 04 2024,23 04 2024,10 04 2024,21 04 2024,8 04 2024,19 04 2024
4500000014,10 05 2023,1001,4,1,10004,69,2 06 2023,2 06 2023,31 05 2023,31 05 2023,30 05 2023,30 05 2023
